Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
TJX,13.5268,0.0224,3.387,0.0169,0.135,4.700677749862732,1.493451235390671,2.482904368235899
TM,0.9829,0.055,8.1324,0.0289,0.069,1.6883182773684677,9.212016706696087,3.296983466993008
UBER,9.3909,-0.5311,1,0.0,-0.5274,2.153992395437262,1,1.093135391634981
ULTA,8.9469,0.0441,4.4738,0.0,0.1562,2.104327270324651,0.5354258431670414,2.0603572828060175
UAA,5.1733,-0.166,4.0765,0.0,-0.4133,2.307759534150465,0.5083660575935854,1.5286286896432675
URBN,2.0332,-0.0022,3.3502,0.0,-0.0055,1.4667282415729828,1.0028391914407477,1.2029309622987285
VRA,1.0224,0.0092,1.31,0.0,0.0145,0.7443000401669311,6.655195742878657,1.2587314923587933
VFC,11.3509,-0.0053,8.3288,0.0229,-0.0253,3.3939627289882854,0.5727293376031224,3.244068538831437
WYND,0.0,-0.036,1,0.027,0.0,-8.815,1,-0.3477199999999999
YUM,0.0,0.1892,2.3898,0.0175,0.0,-1.7653744159616114,(0.5816842679683294+0.001651870994291724j),(0.5344961588792707+0.00019822451931500684j)
CPB,5.7765,0.1873,1.0938,0.0286,0.3217,3.827155676941085,0.7735413029488043,1.2213694105091435
CASY,3.7738,0.0393,0.9821,0.0071,0.1843,1.3406258886570528,0.07907576766159186,0.6983471632119553
KO,12.1715,0.249,4.5635,0.0311,0.4078,4.222980598699414,0.3720998757012574,2.5765824329801044
CL,110.9725,0.1665,3.8675,0.0207,4.571,22.684532924961715,0.45136361683767223,12.618250268017459
CTVA,1.1923,0.0442,1.3292,0.0135,0.0248,0.7194889239193561,-1.304561375823883,0.32905574881468247
CVS,1.2911,0.03,1.1836,0.0295,0.1206,2.384800965018094,1.1434854607742821,0.7478143324943615
GIS,4.4421,0.1278,4.1216,0.0339,0.2648,2.702034436207754,0.6183932273026782,1.7123979421729416
JJSF,3.5934,0.0179,5.25,0.015,0.0223,0.3051953185801571,1.2075982629731201,1.725923417043187
K,7.143,0.088,2.0899,0.0359,0.3515,5.216162943495401,0.536169780614105,1.6433374091533246
KDP,1.8322,0.114,2.0809,0.0201,0.0564,1.1196771978021978,0.5843853230136788,0.8376244145858174
MKC,6.3261,0.1375,1.8718,0.0073,0.2047,1.7616395860350396,0.4485951382545594,1.2138985834733504
MCK,4.9001,0.0095,26.752,0.0093,0.3164,9.451273344651952,1.3233337744328777,7.793305920504101
TAP,0.7456,0.0594,14.2537,0.0556,0.0437,1.122099950417015,1.4190887734104123,3.7655106488426107
MNST,9.5963,0.2699,2.5207,0.0,0.273,0.23078157682303732,0.30981061531804255,1.5260957999840081
