PLC,,,,,,,,,,,
Papa John’s,PZZA,Nasdaq,Small Growth,Leisure,Restaurants,,,,,,
International Inc,,,,,,,,,,,
Pearson PLC,PSON,London Stock Exchange,Mid Value,Consumer Services,Education services,,,,,,
Planet Fitness Inc,PLNT,New York Stock,Mid Growth,Leisure,Leisure time,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Red Lion Hotels Corp,RLH,New York Stock,Small Blend,Leisure,Hotel/motel,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Restaurant Brands,QSR,Toronto Stock Exchange,Large Blend,Leisure,Restaurants,,,,,,
International Inc,,,,,,,,,,,
Revlon Inc,REV,New York Stock,Small Value,Consumer Products,Cosmetics,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Ritchie Bros,RBA,New York Stock,Mid Growth,Consumer Services,Consumer services:,,,,,,
Auctioneers Inc,,"Exchange, Inc.",,,Miscellaneous,,,,,,
Sirius XM Holdings,SIRI,Nasdaq,Large Blend,Media,Radio and TV,,,,,,
Inc,,,,,broadcasters,,,,,,
Smith & Wesson,SWBI,Nasdaq,Small Blend,Leisure,Leisure time,,,,,,
Brands Inc,,,,,,,,,,,
Starbucks Corp,SBUX,Nasdaq,Large Blend,Leisure,Restaurants,,,,,,
Stitch Fix Inc,SFIX,Nasdaq,Small Growth,Retail,Diversified retail,,,,,,
Tailored Brands Inc,TLRD,New York Stock,Small Value,Retail,Specialty retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
TAL Education Group,TAL,New York Stock,Not Available,Consumer Services,Education services,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Target Corp,TGT,New York Stock,Large Blend,Retail,Diversified retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Tata Motors Ltd,500570,BSE LTD,Large Value,Auto & Auto Parts,Automobiles,,,,,,
Tesla Inc,TSLA,Nasdaq,Large Growth,Auto & Auto Parts,Automobiles,,,,,,
Texas Roadhouse Inc,TXRH,Nasdaq,Small Growth,Leisure,Restaurants,,,,,,
The Container Store,TCS,New York Stock,Small Value,Retail,Specialty retail,,,,,,
Group Inc,,"Exchange, Inc.",,,,,,,,,
The Estee Lauder,EL,New York Stock,Large Blend,Consumer Products,Cosmetics,,,,,,
Companies Inc,,"Exchange, Inc.",,,,,,,,,
The Walt Disney Co,DIS,New York Stock,Large Blend,Media,Entertainment,,,,,,
,,"Exchange, Inc.",,,,,,,,,
The Wendy’s Co,WEN,Nasdaq,Mid Blend,Leisure,Restaurants,,,,,,
Tiffany & Co,TIF,New York Stock,Mid Blend,Consumer Products,Luxury items,,,,,,
,,"Exchange, Inc.",,,,,,,,,
,,,,,5,,,,,,
2020-2021 Wharton Global High School Investment Competition Approved Stock List,,,,,,,,,,,
,,,EQUITY,RUSSELL ,RUSSELL,,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,INDUSTRY,,,,,,
Titan Co Ltd,500114,BSE LTD,Large Growth,Consumer Products,Luxury items,,,,,,
TJX Companies Inc,TJX,New York Stock,Large Blend,Retail,Specialty retail,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Toyota Motor Corp,TM,New York Stock,Large Value,Auto & Auto Parts,Automobiles,,,,,,
,,"Exchange, Inc.",,,,,,,,,
Uber Technologies Inc,UBER,New York Stock,Not Available,Consumer Services,Consumer services:,,,,,,
,,"Exchange, Inc.",,,Miscellaneous,,,,,,
Ulta Beauty Inc,ULTA,Nasdaq,Mid Growth,Retail,Specialty retail,,,,,,
Under Armour Inc,UAA,New York Stock,Mid Blend,Consumer Products,Textiles apparel,,,,,,
,,"Exchange, Inc.",,,and shoes,,,,,,
Urban Outfitters Inc,URBN,Nasdaq,Small Value,Retail,Specialty retail,,,,,,
Vera Bradley Inc,VRA,Nasdaq,Small Blend,Consumer Products,Textiles apparel,,,,,,
,,,,,and shoes,,,,,,
VF Corp,VFC,New York Stock,Mid Blend,Consumer Products,Textiles apparel,,,,,,
,,"Exchange, Inc.",,,and shoes,,,,,,
Whitbread PLC,WTB,London Stock Exchange,Mid Blend,Leisure,Restaurants,,,,,,
Wyndham,WYND,New York Stock,Small Value,Leisure,Hotel/motel,,,,,,
Destinations Inc,,"Exchange, Inc.",,,,,,,,,
Yum Brands Inc,YUM,New York Stock,Large Blend,Leisure,Restaurants,,,,,,
,,"Exchange, Inc.",,,,,,,,,
CONSUMER STAPLES,,,,,,,,,,,
,,,EQUITY,RUSSELL ,RUSSELL INDUST,,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,RY,,,,,,
Alimentation Couche-,ATD.B,Toronto Stock Exchange,Large Growth,"Personal Care, Drug",Drug and grocery,,,,,,
Tard Inc,,,,& Grocery Stores,store chains,,,,,,
Ambev SA,ABEV3,"B3 S.A. - Brasil, Bolsa,",Large Blend,"Food, Beverage &",Beverage: Brewers,,,,,,
,,Balcão,,Tobacco,and distillers,,,,,,
Atacadao SA,CRFB3,"B3 S.A. - Brasil, Bolsa,",Large Blend,"Personal Care, Drug",Drug and grocery,,,,,,
,,Balcão,,& Grocery Stores,store chains,,,,,,
BRF SA,BRFS3,"B3 S.A. - Brasil, Bolsa,",Mid Blend,"Food, Beverage &",Foods,,,,,,
,,Balcão,,Tobacco,,,,,,,
Campbell Soup Co,CPB,New York Stock,Mid Value,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
Casey’s General Stores,CASY,Nasdaq,Mid Growth,"Personal Care, Drug",Drug and grocery,,,,,,
Inc,,,,& Grocery Stores,store chains,,,,,,
Coca-Cola Co,KO,New York Stock,Large Value,"Food, Beverage &",Beverage: Soft,,,,,,
,,"Exchange, Inc.",,Tobacco,drinks,,,,,,
6,,,,,,,,,,,
,,2020-2021 Wharton Global High School Investment Competition Approved Stock List,,,,,,,,,
,,,EQUITY,RUSSELL ,RUSSELL INDUST,,,,,,
COMPANY NAME,TICKER,EXCHANGE,STYLE,SUB-SECTOR,RY,,,,,,
Colgate-Palmolive Co,CL,New York Stock,Large Value,"Personal Care, Drug",Personal care,,,,,,
,,"Exchange, Inc.",,& Grocery Stores,,,,,,,
Companhia Brasileira,PCAR4,"B3 S.A. - Brasil, Bolsa,",Mid Value,"Personal Care, Drug",Drug and grocery,,,,,,
De Distribuicao,,Balcão,,& Grocery Stores,store chains,,,,,,
Corteva Inc,CTVA,New York Stock,Not Available,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
CVS Health Corp,CVS,New York Stock,Large Value,"Personal Care, Drug",Drug and grocery,,,,,,
,,"Exchange, Inc.",,& Grocery Stores,store chains,,,,,,
General Mills Inc,GIS,New York Stock,Large Value,"Food, Beverage &",Foods,,,,,,
,,"Exchange, Inc.",,Tobacco,,,,,,,
Godrej Agrovet Ltd,540743,BSE LTD,Mid Blend,"Food, Beverage &",Agriculture fishing,,,,,,
,,,,Tobacco,and ranching,,,,,,
