Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,index
ICE,3.3537,0.3847,1.8796,0.0122,0.1269,6.309856663,0.547073075,1.442184
IRM,7.7783,0.0482,1.08,0.0905,0.1441,11.20493605,1.215421197,1.416608487
JPM,1.262,0.2603,7.1034,0.0361,0.0953,10.97314773,0.682568813,1.401857857
KEY,0.8068,0.2311,2.0761,0.0579,0.0701,8.758978452,1.632371374,1.391341284
KKR,2.1499,0.1525,0.13,0.0147,-0.0217,3.286404199,-3650.206671,1.384311134
LAZ,6.5041,0.1078,1.4461,0.0514,0.3697,7.705915947,2.481737061,1.378233302
L,0.5728,-0.0911,2.69,0.0072,-0.0804,3.489072309,1.878633585,1.345629203
MTB,0.8739,0.2765,17.1304,0.0449,0.0938,7.751084988,1.311307601,1.334162174
MA,52.5131,0.4512,1.7333,0.0048,1.2561,3.953477589,0.43741788,1.32916264
MET,0.4692,0.1073,4.3265,0.0471,0.1047,9.137476385,3.323725589,1.324919533
MCO,52.1185,0.334,2.5368,0.0079,1.9209,9.664745437,0.332482692,1.312579268
ONB,0.7931,0.2644,2.45,0.0397,0.07,6.71655736,0.501820947,1.310059102
OPY,0.5319,0.0548,12,0.0192,0.0942,2.933075156,0.622613743,1.298596652
PYPL,13.5987,0.1344,2.1559,0,0.1527,2.578344671,0.776804033,1.297723472
DOC,1.4097,0.2057,7.13,0.0526,0.0351,0.584478454,-0.046191476,1.288427593
PNC,0.8719,0.5185,7.8351,0.0418,0.0685,7.67208964,1.231044734,1.283798287
PRU,0.3972,-0.0022,1.9352,0.0671,-0.0017,12.88190661,6.513429081,1.281542143
PSA,8.3844,0.4972,7.8711,0.0346,0.1606,0.372286449,0.357603944,1.276683579
RF,0.7509,0.1652,2.7491,0.0502,0.0436,7.183388251,1.918806277,1.267785678
SEIC,4.793,0.2847,1.7234,0.0123,0.2819,0.201902114,0.658218458,1.266233957
GEO,1.3966,0.0596,0.8434,0.1322,0.1482,3.381692674,0.829880067,1.259702691
UBS,0.7195,0.1556,1.443,0.0307,0.0834,17.65269839,-3.975372811,1.258970846
V,14.098,0.5137,2.3617,0.0061,0.3334,1.192433285,0.472536517,1.245592378
WFC,0.5925,0.0535,1.954,0.0177,0.0176,9.970923037,5.240785337,1.235340103
WBK,0.9916,0.2585,13.3984,0.0891,0.073,13.31664447,1.837438611,1.232410193
ABBV,10.3517,0.192,1.2788,0.056,2.2562,9.164944248,0.956361707,1.188427473
ACHC,1.2019,0.0343,1.32,0,0.0434,1.716089078,0.188884506,1.18198
AMGN,12.9134,0.3004,1.5203,0.0277,0.6805,5.099165025,0.985498741,1.17765766
AMN,3.968,0.0365,2.1798,0,0.1184,2.041931758,0.699928098,1.175250004
BAX,5.096,0.081,2.538,0.0121,0.117,1.390871063,0.554404231,1.167378516
BMY,2.7739,-0.0162,0.8015,0.0294,-0.0165,1.607446939,7.844679646,1.166193815
CGIX,2.1626,-0.1753,-0.08,0,-1.5232,1.310919428,1,1.163830594
CSII,5.7597,-0.1151,177.27,0,-0.1307,0.263129111,1,1.160984451
CPRX,3.0425,0.3487,1,0,0.4787,0.181745648,-0.3519818,1.152802422
CNC,1.5231,0.018,0.888,0,0.0825,1.721823116,0.440053943,1.13831982
ENDP,0,-0.0525,-0.13,0,0,-13.82075407,1,1.132248
GILD,4.3119,-0.0116,0.4355,0.0449,-0.014,2.096410939,3.355568662,1.132248
GSK,5.1899,0.1908,7.32,0.0522,0.6364,5.226734349,0.442686363,1.1296282
GMED,4.049,0.119,2.9962,0,0.0678,0.096406279,0.647199572,1.121315377
HBIO,1.6485,-0.0774,2.89,0,-0.1044,0.980924962,1.824688129,1.117457912
ILMN,10.4665,0.2068,2.013,0,0.1558,0.439184747,0.548029458,1.115263526
JNJ,6.1914,0.2101,2.7534,0.028,0.2454,1,1,1.113414897
MRK,7.234,0.222,1.2808,0.031,0.3785,2.274473627,0.633007966,1.103983993
MYGN,1.0529,-0.3124,1.4001,0,-0.1989,0.529732085,6569977.061,1.09076092
NVS,3.6492,0.1456,3.1978,0.036,0.1368,1.299914517,0.668495754,1.090411785
PFE,3.2649,0.2881,2.4784,0.0402,0.2281,1.762154937,0.701143876,1.089652572
PBH,1.4787,0.1584,3.0125,0,0.1306,1.811823663,1.051039173,1.08595604
REGN,7.0448,0.3432,1.154,0,0.3172,0.593022357,0.369396293,1.083162497
TEVA,0.7349,0.0002,1.1196,0,-0.0103,2.899725671,1.69694E+13,1.080055693
