Ticker,PBRatio,profitMargin,PEGRatio,dividendyield,returnonequity,DERatio,PIRatio,,index
APTV,3.8197,0.1363,3.087,0.0176,0.3122,1.174589455,0.341687681,1.267785678,1.430840133
ICE,3.3537,0.3847,1.8796,0.0122,0.1269,6.309856663,0.547073075,1.378233302,1.42694805
LVS,9.3155,0.0395,2.295,0.0688,0.0749,4.615591398,5.584596553,2.364994898,1.426440991
COST,9.2073,0.024,4.5473,0.0075,0.2367,2.015478014,0.287379019,2.075739723,1.424659912
SRE,1.8095,0.3912,2.8606,0.0327,0.1105,1.821528425,-0.203512219,1.041220808,1.419806804
TGT,6.5855,0.0416,2.1679,0.0166,0.2878,2.816186993,0.649746064,1.416608487,1.419464763
BCS,0.2549,0.1105,0.6539,0.111,0.0296,19.27870989,9.93018051,2.948166452,1.417696672
JPM,1.262,0.2603,7.1034,0.0361,0.0953,10.97314773,0.682568813,2.830576076,1.416821656
APD,5.6485,0.2158,2.1024,0.0182,0.1658,1.094293826,0.324424298,1.152802422,1.416728592
MKC,6.764,0.1375,2.0315,0.0126,0.2047,1.761639586,0.453036888,1.288427593,1.416494917
RBA,7.6814,0.1189,2.83,0.0141,0.1756,1.750957117,0.468727787,1.545871904,1.415035683
RGLD,3.536,0.4027,1.41,0.0094,0.0878,0.204279785,-0.229548428,0.693196571,1.414925082
GBCI,1.5101,0.3271,2.1,0.0343,0.1109,6.671884976,0.731072794,1.324919533,1.410338741
DFS,2.3366,0.1776,0.4301,0.0277,0.0993,10.80047703,5.35678881,1.84860482,1.408623043
GOOG,5.1606,0.1899,1.8136,0,0.1579,0.34328243,0.903209615,1.045923748,1.40841262
BX,6.8163,0.2562,0.62,0.0339,0.0673,2.887894069,1.096733335,1.115263526,1.408316768
SFM,3.4593,0.0356,1.0424,0,0.34,2.986655042,0.58384896,0.909610279,1.408007495
SFM,3.4593,0.0356,1.0424,0,0.34,2.986655042,0.58384896,0.909610279,1.408007495
RIO,1.9086,0.1721,1,0.0645,0.1704,1.155032633,2.014028813,0.796130068,1.405653429
UNH,4.5291,0.0663,1.4485,0.0154,0.2635,1.896037638,0.522529368,0.989510535,1.404919325
ULTA,7.6972,0.0441,3.8489,0,0.1562,1,1,1.777808,1.404078111
AXP,3.9922,0.1189,1.7655,0.0168,0.1845,7.954895072,1.662106945,1.636880439,1.403543901
IRM,7.7783,0.0482,1.08,0.0905,0.1441,11.20493605,1.215421197,1.971101428,1.403485015
NTIC,1.3522,0.0246,1,0.0371,0.0284,0.084437799,10.47001039,1.625400271,1.403220132
CHL,0.786,0.1425,3.8407,0.0615,0.0963,0.531006441,3.335548424,1.476834326,1.400575213
OZK,0.6784,0.3511,1,0.051,0.0658,5.416796938,1,0.923071755,1.400179626
NVS,3.6492,0.1456,3.1978,0.036,0.1368,1.299914517,0.668495754,1.298596652,1.398587615
OPY,0.5319,0.0548,12,0.0192,0.0942,2.933075156,0.622613743,3.261823662,1.398358519
VFC,10.1432,-0.0053,10.4349,0.027,-0.0253,3.284506478,0.483494278,3.633943832,1.398332332
KSU,3.8256,0.2168,2.5131,0.0089,0.1162,1.253953173,0.295664493,1.103983993,1.398270855
SNA,2.4677,0.1521,2.3648,0.0277,0.1737,0.747096108,0.721964443,0.973771422,1.398032596
AWK,4.4561,0.1729,4.4498,0.0142,0.1032,2.420795204,-0.07143474,1.659539447,1.397637479
LUV,2.1517,0.0098,14.4712,0.0213,0.0157,1.961849605,1.261340962,3.960796884,1.397232312
FMC,5,0.1035,1.4303,0.0164,0.1952,2.530933314,0.246409609,1.032883818,1.396930087
EDU,8.676,0.1085,1.0405,0,0.1041,1,1,1.18198,1.39609657
HAS,4.6095,0.0758,2.5756,0.0314,0.1732,2.874948062,0.651611316,1.345629203,1.395209679
MET,0.4692,0.1073,4.3265,0.0471,0.1047,9.137476385,3.323725589,2.249501181,1.395130583
FFHL,0.398,0.1227,1,0,0.1899,0.976586482,3.289266335,0.802290879,1.394865074
SAVE,0.6711,-0.0026,20.44,0,-0.0034,1.77329267,-1.617725843,4.905928313,1.393785211
DOC,1.4097,0.2057,7.13,0.0526,0.0351,0.584478454,-0.046191476,1.911435299,1.392422362
TR,2.7664,0.1269,1,0.0116,0.0853,0.295120435,4.195000705,1.027077719,1.390977577
TR,2.7664,0.1269,1,0.0116,0.0853,0.295120435,4.195000705,1.027077719,1.390977577
KEY,0.8068,0.2311,2.0761,0.0579,0.0701,8.758978452,1.632371374,1.517354841,1.390606286
SJW,1.96,0.052,0.5327,0.021,0.0292,2.451080345,8.08938226,1.468140299,1.389000599
